方向,分類,代碼,名稱,定義說明
空,均線位置(站上/跌破),underMA1,跌破MA5,收盤跌破 MA1（預設5）
空,均線位置(站上/跌破),underMA2,跌破MA10,收盤跌破 MA2（預設10）
空,均線位置(站上/跌破),underMA3,跌破MA20,收盤跌破 MA3（預設20）
空,均線位置(站上/跌破),underMA4,跌破MA60,收盤跌破 MA4（預設60）
空,均線位置(站上/跌破),underMA5,跌破MA240,收盤跌破 MA5（預設240）
空,交叉/穿越,deadX,死亡交叉(MA1↓MA2),死亡交叉：MA1 由上往下跌破 MA2（快線跌破慢線）
空,交叉/穿越,xDn4,價穿MA60↓,前一根收盤在 MA4(60)之上、這根收盤跌破 MA4＝向下跌破60均（60/60 破線偏空）
空,均線拐點/斜率,ma3Dn,MA20下彎,MA3(20)最近 N 根斜率<0＝20均下彎（60/20 表態向下）
空,均線拐點/斜率,ma1TurnDn,MA5剛下彎,MA5 前一根還在走平或上揚、這根轉為下降＝MA5 剛拐頭向下（短線轉弱的早訊）
空,均線拐點/斜率,ma4TurnDn,MA60剛下彎,MA60 前一根走平或上揚、這根轉跌＝主軸均線剛拐頭向下（「60/60 過去後注意下殺」常看這個）
空,K棒型態,green,黑K,黑K：收盤 < 開盤
空,K棒型態,strGreen,強黑K,強黑K（大陰線）：黑K 且實體 ≥ 高低幅的 60%
空,K棒型態,longUp,長上影,長上影：上影線 ≥ 整根K棒高低幅的 50%（上方被壓回，賣壓訊號）
空,K棒型態,green2,連續2黑K,連續2根黑K（這根與前一根都收黑，殺盤延續）
空,K棒型態,green3,連續3黑K,連續3根黑K（連三黑，殺盤動能）
空,壓撐/位置,res,MA壓力,MA壓力：盤中最高觸及 MA3(20) 或 MA4(60) 附近，但收盤仍在該均線之下（被均線壓回）
空,壓撐/位置,resL,左側壓力(壓回),這根最高觸及「左邊已確認的轉折高點」(容差內)，但被壓回收在其下且留上影＝在左邊高點被壓回。轉折高＝左右各3根的區域最高、已確認，因果安全
空,壓撐/位置,nearLow,貼近期低(破底),貼近期低：收盤落在「近20根最低價(含這根)」的 0.5% 內＝收在近期低檔＝破底或逼近前低
空,布林通道(20,2σ),bbDnBk,跌破布林下軌,前一根收盤還在下軌內、這根收盤跌破下軌＝波動放大向下表態（順勢追空訊號）
空,布林通道(20,2σ),bbUpT,觸布林上軌(壓回),盤中最高碰到上軌但收盤被壓回軌內＝上軌壓制、超漲拉回的逆勢空訊（多單也常用它獲利出場）
空,布林通道(20,2σ),bbMidDn,跌破布林中軌,跌破布林中軌：收盤 < 中軌＝轉弱；多單常用它當出場線
中性(兩者皆可),量能,volUp,放量,放量：這根成交量 ≥ 前20根均量的 1.5 倍（配紅K偏多／配黑K偏空）
中性(兩者皆可),量能,volSpike,爆量,爆量：這根成交量 ≥ 前20根均量的 2.5 倍（配紅K偏續攻、配黑K偏轉弱）

